ID,Inclusion_Exlusion,Reason,Trial_phase,Trial_number,Trial_name,Tumor,Primary_outcome,PFS_primary_outcome,PFS_Registry,PFS_Protocol,PFS_Prespecified,PFS_Paper,PFS_Inconsistency,PFS_Reason,PFS_Free_comments,PFS_Blndeness,ORR_primary_outcome,ORR_Registry,ORR_Protocol,ORR_Prespecified,ORR_Paper,ORR_Inconsistency,ORR_Reason,ORR_Free_comments,ORR_Blndeness,Response_PFS,Response_ORR,title,journal,IF,year,authors,url,pubmed_id
12,Inclusion,,Phase 3,NCT03141177,CheckMate 9ER,Renal cell cancer,PFS,Yes,Only central,Investigator + central,Investigator + central,Only central,Suspicious of selective reporting,Contradiction,Investigator and BICR were planned to assess the progression in the protocol.,Only blinded,No,Unclear,Investigator + central,Investigator + central,Only central,Suspicious of selective reporting,Contradiction,Investigator and BICR were planned to assess the progression in the protocol.,Only blinded,,,Nivolumab plus Cabozantinib versus Sunitinib for Advanced Renal-Cell Carcinoma.,The New England journal of medicine,91.25,2021,Choueiri TK and Powles T and Burotto M and Escudier B and Bourlon MT and Zurawski B and Oyervides Juｾｽ｡rez VM and Hsieh JJ and Basso U and Shah AY and Suｾｽ｡rez C and Hamzaj A and Goh JC and Barrios C and Richardet M and Porta C and Kowalyszyn R and Feregrino JP and ｾ⒰ｽｻoｾ⒰ｼｯierek J and Pook D and Kessler ER and Tomita Y and Mizuno R and Bedke J and Zhang J and Maurer MA and Simsek B and Ejzykowicz F and Schwab GM and Apolo AB and Motzer RJ,https://pubmed.ncbi.nlm.nih.gov/33657295/,33657295
13,Exclusion,Study design,,,,,,,,,,,,,,,,,,,,,,,,,,Impact of subsequent immune checkpoint inhibitor treatment on overall survival with avelumab vs docetaxel in platinum-treated advanced NSCLC: Post hoc analyses from the phase 3 JAVELIN Lung 200 trial.,"Lung cancer (Amsterdam, Netherlands)",5.71,2021,Park K and ｾ･波ｾｽｼroｾｮ埠 M and Vansteenkiste J and Spigel D and Yang JC and Bajars M and Ruisi M and Manitz J and Barlesi F,https://pubmed.ncbi.nlm.nih.gov/33636453/,33636453
14,Inclusion,,Phase 3,NCT02811861,CLEAR,Renal cell cancer,PFS,Yes,Investigator + central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,"Probably, non-blinded + blinded",No,Only central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,"Probably, non-blinded + blinded",,,Lenvatinib plus Pembrolizumab or Everolimus for Advanced Renal Cell Carcinoma.,The New England journal of medicine,91.25,2021,Motzer R and Alekseev B and Rha SY and Porta C and Eto M and Powles T and Grｾｽｼnwald V and Hutson TE and Kopyltsov E and Mｾｽｩndez-Vidal MJ and Kozlov V and Alyasova A and Hong SH and Kapoor A and Alonso Gordoa T and Merchan JR and Winquist E and Maroto P and Goh JC and Kim M and Gurney H and Patel V and Peer A and Procopio G and Takagi T and Melichar B and Rolland F and De Giorgi U and Wong S and Bedke J and Schmidinger M and Dutcus CE and Smith AD and Dutta L and Mody K and Perini RF and Xing D and Choueiri TK,https://pubmed.ncbi.nlm.nih.gov/33616314/,33616314
15,Inclusion,,Phase 2,NCT01630083,FAST,Gastric and Gastroesophageal Junction Adenocarcinoma,OS and PFS,Yes,Only central,No protocol,Only central,Investigator + central,Central or local in advance but both in paper,,,"Probably, non-blinded + blinded",No,Only investigator,No protocol,Only investigator,Investigator + central,Central or local in advance but both in paper,,,"Probably, non-blinded + blinded",,,FAST: a randomised phase II study of zolbetuximab (IMAB362) plus EOX versus EOX alone for first-line treatment of advanced CLDN18.2-positive gastric and gastro-oesophageal adenocarcinoma.,Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Sahin U and Tｾｽｼreci ｾ and Manikhas G and Lordick F and Rusyn A and Vynnychenko I and Dudov A and Bazin I and Bondarenko I and Melichar B and Dhaene K and Wiechen K and Huber C and Maurus D and Arozullah A and Park JW and Schuler M and Al-Batran SE,https://pubmed.ncbi.nlm.nih.gov/33610734/,33610734
16,Inclusion,,Phase 3,NCT03088540,EMPOWER-Lung 1,Non-small cell lung cancer,OS and PFS,Yes,Only central,Only central,Only central,Only central,Consistent,,,Only blinded,No,Unclear,Only central,Only central,Only central,Consistent,,,Only blinded,,,"Cemiplimab monotherapy for first-line treatment of advanced non-small-cell lung cancer with PD-L1 of at least 50%: a multicentre, open-label, global, phase 3, randomised, controlled trial.","Lancet (London, England)",79.32,2021,Sezer A and Kilickap S and Gｾｽｼmｾｽｼｾ M and Bondarenko I and ｾ･波ｾｽｼroｾｮ埠 M and Gogishvili M and Turk HM and Cicin I and Bentsion D and Gladkov O and Clingan P and Sriuranpong V and Rizvi N and Gao B and Li S and Lee S and McGuire K and Chen CI and Makharadze T and Paydas S and Nechaeva M and Seebach F and Weinreich DM and Yancopoulos GD and Gullo G and Lowy I and Rietschel P,https://pubmed.ncbi.nlm.nih.gov/33581821/,33581821
17,Exclusion,Outcome,,,,,,,,,,,,,,,,,,,,,,,,,,Transdermal oestradiol for androgen suppression in prostate cancer: long-term cardiovascular outcomes from the randomised Prostate Adenocarcinoma Transcutaneous Hormone (PATCH) trial programme.,"Lancet (London, England)",79.32,2021,Langley RE and Gilbert DC and Duong T and Clarke NW and Nankivell M and Rosen SD and Mangar S and Macnair A and Sundaram SK and Laniado ME and Dixit S and Madaan S and Manetta C and Pope A and Scrase CD and Mckay S and Muazzam IA and Collins GN and Worlding J and Williams ST and Paez E and Robinson A and McFarlane J and Deighan JV and Marshall J and Forcat S and Weiss M and Kockelbergh R and Alhasso A and Kynaston H and Parmar M,https://pubmed.ncbi.nlm.nih.gov/33581820/,33581820
18,Inclusion,,Phase 3,NCT03080805,PHOEBE,Breast cancer,PFS,Yes,Unclear,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,No,Unclear,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,,,"Pyrotinib plus capecitabine versus lapatinib plus capecitabine for the treatment of HER2-positive metastatic breast cancer (PHOEBE): a multicentre, open-label, randomised, controlled, phase 3 trial.",The Lancet. Oncology,41.32,2021,Xu B and Yan M and Ma F and Hu X and Feng J and Ouyang Q and Tong Z and Li H and Zhang Q and Sun T and Wang X and Yin Y and Cheng Y and Li W and Gu Y and Chen Q and Liu J and Cheng J and Geng C and Qin S and Wang S and Lu J and Shen K and Liu Q and Wang X and Wang H and Luo T and Yang J and Wu Y and Yu Z and Zhu X and Chen C and Zou J,https://pubmed.ncbi.nlm.nih.gov/33581774/,33581774
19,Inclusion,,Phase 3,NCT03474107,EV-301,Urothelial cancer,OS,No,Only investigator,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Unclear,Only investigator,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,Enfortumab Vedotin in Previously Treated Advanced Urothelial Carcinoma.,The New England journal of medicine,91.25,2021,Powles T and Rosenberg JE and Sonpavde GP and Loriot Y and Durｾｽ｡n I and Lee JL and Matsubara N and Vulsteke C and Castellano D and Wu C and Campbell M and Matsangou M and Petrylak DP,https://pubmed.ncbi.nlm.nih.gov/33577729/,33577729
20,Inclusion,,Phase 3,NCT02481830,CheckMate 331,Small cell lung cancer,OS,No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,Second-line nivolumab in relapsed small-cell lung cancer: CheckMate 331(隨).,Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Spigel DR and Vicente D and Ciuleanu TE and Gettinger S and Peters S and Horn L and Audigier-Valette C and Pardo Aranda N and Juan-Vidal O and Cheng Y and Zhang H and Shi M and Luft A and Wolf J and Antonia S and Nakagawa K and Fairchild J and Baudelet C and Pandya D and Doshi P and Chang H and Reck M,https://pubmed.ncbi.nlm.nih.gov/33539946/,33539946
21,Inclusion,,Phase 2,NCT02322814,COLET,Breast cancer,ORR,No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,Yes,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,"A phase II randomized trial of cobimetinib plus chemotherapy, with or without atezolizumab, as first-line treatment for patients with locally advanced or metastatic triple-negative breast cancer (COLET): primary analysis.",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Brufsky A and Kim SB and Zvirbule ｾ⒰ｽｽ and Eniu A and Mebis J and Sohn JH and Wongchenko M and Chohan S and Amin R and Yan Y and McNally V and Miles D and Loi S,https://pubmed.ncbi.nlm.nih.gov/33539944/,33539944
22,Inclusion,,Phase 3,"NCT01802749, EudraCT 2012-004362-17",MITO16b/MANGO–OV2/ENGOT–ov17,Ovarian cancer,PFS,Yes,Investigator + central,Investigator + central,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,No,Unclear,Unclear,Unclear,Unclear,Consistent: unclear,,,"Probably, only blinded",,,"Carboplatin-based doublet plus bevacizumab beyond progression versus carboplatin-based doublet alone in patients with platinum-sensitive ovarian cancer: a randomised, phase 3 trial.",The Lancet. Oncology,41.32,2021,Pignata S and Lorusso D and Joly F and Gallo C and Colombo N and Sessa C and Bamias A and Salutari V and Selle F and Frezzini S and De Giorgi U and Pautier P and Bologna A and Orditura M and Dubot C and Gadducci A and Mammoliti S and Ray-Coquard I and Zafarana E and Breda E and Favier L and Ardizzoia A and Cinieri S and Largillier R and Sambataro D and Guardiola E and Lauria R and Pisano C and Raspagliesi F and Scambia G and Daniele G and Perrone F,https://pubmed.ncbi.nlm.nih.gov/33539744/,33539744
24,Inclusion,,Phase 2,NCT02058706,No name,Prostate cancer,prostate-specific antigen (PSA) response rate,No PFS,Unclear,Only investigator,Only investigator,No PFS,Suspicious of selective reporting,Contradiction,PFS and ORR were planned to assess in the protocol.,No PFS,No ORR,Unclear,Unclear,Unclear,No ORR,Suspicious of selective reporting,Contradiction,PFS and ORR were planned to assess in the protocol.,No ORR,Only non-blinded,,Clinical Efficacy of Enzalutamide vs Bicalutamide Combined With Androgen Deprivation Therapy in Men With Metastatic Hormone-Sensitive Prostate Cancer: A Randomized Clinical Trial.,JAMA network open,8.48,2021,Vaishampayan UN and Heilbrun LK and Monk P 3rd and Tejwani S and Sonpavde G and Hwang C and Smith D and Jasti P and Dobson K and Dickow B and Heath EI and Semaan L and Cher ML and Fontana JA and Chinni S,https://pubmed.ncbi.nlm.nih.gov/33496795/,33496795
25,Inclusion,,Phase 3,NCT02899299,CheckMate 743,Malignant pleural mesothelioma,OS,No,Only central,Only central,Only central,Only central,Consistent,,,Only blinded,No,Only central,Only central,Only central,Only central,Consistent,,,Only blinded,,,"First-line nivolumab plus ipilimumab in unresectable malignant pleural mesothelioma (CheckMate 743): a multicentre, randomised, open-label, phase 3 trial.","Lancet (London, England)",79.32,2021,Baas P and Scherpereel A and Nowak AK and Fujimoto N and Peters S and Tsao AS and Mansfield AS and Popat S and Jahan T and Antonia S and Oulkhouir Y and Bautista Y and Cornelissen R and Greillier L and Grossi F and Kowalski D and Rodrｾｽｭguez-Cid J and Aanur P and Oukessou A and Baudelet C and Zalcman G,https://pubmed.ncbi.nlm.nih.gov/33485464/,33485464
26,Inclusion,,Phase 3,NCT03215706,CheckMate 9LA,Non-small cell lung cancer,OS,No,Only central,No protocol,Only central,Investigator + central,Central or local in advance but both in paper,,data not shown,Non-blinded + blinded,No,Only central,No protocol,Only central,Only central,Consistent,,,Only blinded,,,"First-line nivolumab plus ipilimumab combined with two cycles of chemotherapy in patients with non-small-cell lung cancer (CheckMate 9LA): an international, randomised, open-label, phase 3 trial.",The Lancet. Oncology,41.32,2021,Paz-Ares L and Ciuleanu TE and Cobo M and Schenker M and Zurawski B and Menezes J and Richardet E and Bennouna J and Felip E and Juan-Vidal O and Alexandru A and Sakai H and Lingua A and Salman P and Souquet PJ and De Marchi P and Martin C and Pｾｽｩrol M and Scherpereel A and Lu S and John T and Carbone DP and Meadows-Shropshire S and Agrawal S and Oukessou A and Yan J and Reck M,https://pubmed.ncbi.nlm.nih.gov/33476593/,33476593
28,Inclusion,,Phase 2,NCT02299999,SAFIR02-BREAST IMMUNO trial,Breast cancer,PFS,Yes,Unclear,Only investigator,Only investigator,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",No,Unclear,Unclear,Unclear,Unclear,Consistent: unclear,,,"Probably, only non-blinded",Only non-blinded,Only non-blinded,Durvalumab compared to maintenance chemotherapy in metastatic breast cancer: the randomized phase II SAFIR02-BREAST IMMUNO trial.,Nature medicine,53.44,2021,Bachelot T and Filleron T and Bieche I and Arnedos M and Campone M and Dalenc F and Coussy F and Sablin MP and Debled M and Lefeuvre-Plesse C and Goncalves A and Reynier MM and Jacot W and You B and Barthelemy P and Verret B and Isambert N and Tchiknavorian X and Levy C and Thery JC and L'Haridon T and Ferrero JM and Mege A and Del Piano F and Rouleau E and Tran-Dien A and Adam J and Lusque A and Jimenez M and Jacquet A and Garberis I and Andre F,https://pubmed.ncbi.nlm.nih.gov/33462450/,33462450
29,Inclusion,,Phase 3,NCT02028507,PEARL,Breast cancer,PFS,Yes,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Only investigator,No protocol,Only investigator,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",Only non-blinded,Only non-blinded,"Palbociclib in combination with endocrine therapy versus capecitabine in hormonal receptor-positive, human epidermal growth factor 2-negative, aromatase inhibitor-resistant metastatic breast cancer: a phase III randomised controlled trial-PEARL.",Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Martin M and Zielinski C and Ruiz-Borrego M and Carrasco E and Turner N and Ciruelos EM and Muｾｽｱoz M and Bermejo B and Margeli M and Anton A and Kahan Z and Csｾｽｶszi T and Casas MI and Murillo L and Morales S and Alba E and Gal-Yam E and Guerrero-Zotano A and Calvo L and de la Haba-Rodriguez J and Ramos M and Alvarez I and Garcia-Palomo A and Huang Bartlett C and Koehler M and Caballero R and Corsaro M and Huang X and Garcia-Sｾｽ｡enz JA and Chacｾｽｳn JI and Swift C and Thallinger C and Gil-Gil M,https://pubmed.ncbi.nlm.nih.gov/33385521/,33385521
30,Inclusion,,Unclear,Not available,No name,Colorectal cancer,PFS,Yes,No registry,No protocol,Not available,Unclear,Not prespecified,,,"Probably, only non-blinded",No ORR,No registry,No protocol,Not available,No ORR,Not prespecified,,,No ORR,,,Metronomic capecitabine as maintenance treatment after first line induction with XELOX for metastatic colorectal cancer patients.,Medicine,1.89,2020,Geng R and Wang G and Qiu L and Liu B and Yang F and Zhang J and Miao Y,https://pubmed.ncbi.nlm.nih.gov/33371122/,33371122
31,Inclusion,,Phase 3,NCT03134872,CameL,Non-small cell lung cancer,PFS,Yes,Only investigator,No protocol,Only investigator,Investigator + central,Central or local in advance but both in paper,,,Non-blinded + blinded,No,Unclear,No protocol,Unclear,Investigator + central,Unclear in advance but clear in paper,,,Non-blinded + blinded,,,"Camrelizumab plus carboplatin and pemetrexed versus chemotherapy alone in chemotherapy-naive patients with advanced non-squamous non-small-cell lung cancer (CameL): a randomised, open-label, multicentre, phase 3 trial.",The Lancet. Respiratory medicine,30.7,2021,Zhou C and Chen G and Huang Y and Zhou J and Lin L and Feng J and Wang Z and Shu Y and Shi J and Hu Y and Wang Q and Cheng Y and Wu F and Chen J and Lin X and Wang Y and Huang J and Cui J and Cao L and Liu Y and Zhang Y and Pan Y and Zhao J and Wang L and Chang J and Chen Q and Ren X and Zhang W and Fan Y and He Z and Fang J and Gu K and Dong X and Zhang T and Shi W and Zou J,https://pubmed.ncbi.nlm.nih.gov/33347829/,33347829
32,Inclusion,,Phase 3,NCT02657434,IMpower132,Non-small cell lung cancer,OS and PFS,Yes,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,Atezolizumab Plus Chemotherapy for First-Line Treatment of Nonsquamous NSCLC: Results From the Randomized Phase 3 IMpower132 Trial.,Journal of thoracic oncology : official publication of the International Association           for the Study of Lung Cancer,15.61,2021,Nishio M and Barlesi F and West H and Ball S and Bordoni R and Cobo M and Longeras PD and Goldschmidt J Jr and Novello S and Orlandi F and Sanborn RE and Szalai Z and Ursol G and Mendus D and Wang L and Wen X and McCleland M and Hoang T and Phan S and Socinski MA,https://pubmed.ncbi.nlm.nih.gov/33333328/,33333328
33,Inclusion,,Phase 3,NCT02613507,CheckMate 078,Non-small cell lung cancer,OS,No,Only investigator,No protocol,Only investigator,Unclear,Central or local in advance but unclear in paper,,,"Probably, only non-blinded",No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,"Nivolumab versus docetaxel in a predominantly Chinese patient population with previously treated advanced non-small cell lung cancer: 2-year follow-up from a randomized, open-label, phase 3 study (CheckMate 078).","Lung cancer (Amsterdam, Netherlands)",5.71,2021,Lu S and Wang J and Cheng Y and Mok T and Chang J and Zhang L and Feng J and Tu HY and Wu L and Zhang Y and Luft A and Zhou JY and Ma Z and Lu Y and Hu C and Shi Y and Ying K and Zhong H and Poddubskaya E and Soo RA and Chia YH and Li A and Li A and Wu YL,https://pubmed.ncbi.nlm.nih.gov/33321441/,33321441
34,Inclusion,,Phase 3,NCT03273153,IMspire170,Melanoma,PFS,Yes,Investigator + central,No protocol,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,No,Investigator + central,No protocol,Investigator + central,Investigator + central,Consistent,,,Non-blinded + blinded,,,Cobimetinib plus atezolizumab in BRAF(V600) wild-type melanoma: primary results from the randomized phase III IMspire170 study.,Annals of oncology : official journal of the European Society for Medical Oncology,32.98,2021,Gogas H and Drｾｽｩno B and Larkin J and Demidov L and Stroyakovskiy D and Eroglu Z and Francesco Ferrucci P and Pigozzo J and Rutkowski P and Mackiewicz J and Rooney I and Voulgari A and Troutman S and Pitcher B and Guo Y and Yan Y and Castro M and Mulla S and Flaherty K and Arance A,https://pubmed.ncbi.nlm.nih.gov/33309774/,33309774
35,Exclusion,Publication,,,,,,,,,,,,,,,,,,,,,,,,,,"A randomized, multi-center, open-label study to compare the safety and efficacy between afatinib monotherapy and combination therapy of afatinib and HAD-B1 for the locally advanced or metastatic NSCLC patients with EGFR mutations.",Medicine,1.89,2020,Song SY and Ha SJ and Park JH and Park SJ and Shin SH and Oak C and Choi JY and Yoon SW and Kim JA and Yoon SH and Son JW and Kim SJ and Yoo HS,https://pubmed.ncbi.nlm.nih.gov/33285743/,33285743
36,Inclusion,,Phase 3,NCT03043872,CASPIAN,Small cell lung cancer,OS,No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,No,Only investigator,No protocol,Only investigator,Only investigator,Consistent,,,Only non-blinded,,,"Durvalumab, with or without tremelimumab, plus platinum-etoposide versus platinum-etoposide alone in first-line treatment of extensive-stage small-cell lung cancer (CASPIAN): updated results from a randomised, controlled, open-label, phase 3 trial.",The Lancet. Oncology,41.32,2021,Goldman JW and Dvorkin M and Chen Y and Reinmuth N and Hotta K and Trukhin D and Statsenko G and Hochmair MJ and ｾ･波ｾｽｼroｾｮ埠 M and Ji JH and Garassino MC and Voitko O and Poltoratskiy A and Ponce S and Verderame F and Havel L and Bondarenko I and Kaｾ⒰ｽｼarnowicz A and Losonczy G and Conev NV and Armstrong J and Byrne N and Thiyagarajah P and Jiang H and Paz-Ares L,https://pubmed.ncbi.nlm.nih.gov/33285097/,33285097
